id	focus_label	focus_tags	text
C00584	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	bolehkah penderita alergi melakukan donor darah
C00640	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT,PROSEDUR	apakah riwayat alergi debu dan dermatitis berpengaruh jika mendapat vaksin covid
C01280	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	bolehkah penderita sinus frontal memelihara kucing
C01672	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	bersin berlebihan setelah minum es dan sakit pinggang pada penderita kolesterol
C01991	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	kaki terasa gatal pada penderita kolitis apakah berpengaruh
C03933	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	mengobati alergi pada penderita asam lambung
C04575	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	obat yang boleh dikonsumsi untuk penderita stroke
C05458	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	bolehkah konsumsi asam mefenamat dan dexamethasone pada penderita tekanan darah tinggi
C05590	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	penggunaan obat untuk penderita stroke ringan
C05614	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	keamanan konsumsi diclofenac sodium untuk seseorang yang memiliki riwayat penyakit jantung
C05742	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT,DOSIS	minum obat donepezil dengan dosis mg untuk penderita penyakit ginjal
C05860	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	obat untuk penderita ambeien
C05927	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	amankah penderita tukak lambung konsumsi obat untuk diare
C06074	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	obat flu yang aman untuk orang dengan riwayat stroke
C06260	RIWAYAT_PENYAKIT	RIWAYAT_PENYAKIT	apakah penderita stroke dan diabetes boleh konsumsi obat tidur
