id	annotator_1_checked	annotator_2_checked	adjudicated	notes
C04863	no	no	no	
C12034	no	no	no	
C04916	no	no	no	
C04979	no	no	no	
C07275	no	no	no	
C04667	no	no	no	
C07640	no	no	no	
C07695	no	no	no	
C12293	no	no	no	
C05815	no	no	no	
C05991	no	no	no	
C10054	no	no	no	
C08465	no	no	no	
C12213	no	no	no	
C11860	no	no	no	
C06886	no	no	no	
C06085	no	no	no	
C11797	no	no	no	
C06585	no	no	no	
C05510	no	no	no	
C02431	no	no	no	
C01089	no	no	no	
C12989	no	no	no	
C09710	no	no	no	
C10631	no	no	no	
C11058	no	no	no	
C02306	no	no	no	
C06881	no	no	no	
C12008	no	no	no	
C00829	no	no	no	
C08378	no	no	no	
C10634	no	no	no	
C11108	no	no	no	
C10149	no	no	no	
C10161	no	no	no	
C12937	no	no	no	
C12708	no	no	no	
C12083	no	no	no	
C12784	no	no	no	
C10428	no	no	no	
C00791	no	no	no	
C00745	no	no	no	
C08066	no	no	no	
C12499	no	no	no	
C09912	no	no	no	
C05733	no	no	no	
C10909	no	no	no	
C06731	no	no	no	
C07164	no	no	no	
C00720	no	no	no	
C12154	no	no	no	
C07645	no	no	no	
C11490	no	no	no	
C12747	no	no	no	
C05876	no	no	no	
C00587	no	no	no	
C03078	no	no	no	
C11372	no	no	no	
C12705	no	no	no	
C00687	no	no	no	
C07019	no	no	no	
C05930	no	no	no	
C07104	no	no	no	
C10826	no	no	no	
C08524	no	no	no	
C10856	no	no	no	
C04797	no	no	no	
C08364	no	no	no	
C08380	no	no	no	
C04805	no	no	no	
C06951	no	no	no	
C08822	no	no	no	
C06666	no	no	no	
C07405	no	no	no	
C05593	no	no	no	
C04914	no	no	no	
C07675	no	no	no	
C06453	no	no	no	
C00566	no	no	no	
C04841	no	no	no	
C07046	no	no	no	
C02343	no	no	no	
C05957	no	no	no	
C04456	no	no	no	
C08274	no	no	no	
C05052	no	no	no	
C07570	no	no	no	
C06603	no	no	no	
C11487	no	no	no	
C03849	no	no	no	
C08497	no	no	no	
C01679	no	no	no	
C00434	no	no	no	
C00670	no	no	no	
C04858	no	no	no	
C05225	no	no	no	
C11822	no	no	no	
C00009	no	no	no	
C04103	no	no	no	
C02823	no	no	no	
C01241	no	no	no	
C06711	no	no	no	
C03794	no	no	no	
C01036	no	no	no	
C06486	no	no	no	
C05703	no	no	no	
C03276	no	no	no	
C03229	no	no	no	
C08510	no	no	no	
C06275	no	no	no	
C01198	no	no	no	
C02484	no	no	no	
C03500	no	no	no	
C02012	no	no	no	
C02050	no	no	no	
C00949	no	no	no	
C00699	no	no	no	
C01030	no	no	no	
C03192	no	no	no	
C02867	no	no	no	
C01762	no	no	no	
C02987	no	no	no	
C00242	no	no	no	
C01351	no	no	no	
C01331	no	no	no	
C03020	no	no	no	
C01117	no	no	no	
C01851	no	no	no	
C00298	no	no	no	
C01704	no	no	no	
C04342	no	no	no	
C00641	no	no	no	
C03449	no	no	no	
C09416	no	no	no	
C03655	no	no	no	
C06601	no	no	no	
C06317	no	no	no	
C07732	no	no	no	
C06423	no	no	no	
C01455	no	no	no	
C03738	no	no	no	
C02786	no	no	no	
C02655	no	no	no	
C01600	no	no	no	
C08000	no	no	no	
C11107	no	no	no	
C09808	no	no	no	
C11514	no	no	no	
C01643	no	no	no	
C12633	no	no	no	
C02675	no	no	no	
C01405	no	no	no	
C09759	no	no	no	
C09515	no	no	no	
C00464	no	no	no	
C00470	no	no	no	
C00610	no	no	no	
C00704	no	no	no	
C02200	no	no	no	
C03071	no	no	no	
