gold\predicted,O,B-GEJALA,I-GEJALA,B-OBAT,I-OBAT,B-DOSIS,I-DOSIS,B-DIAGNOSIS,I-DIAGNOSIS,B-ANATOMI,I-ANATOMI,B-PROSEDUR,I-PROSEDUR,B-HASIL_LAB,I-HASIL_LAB,B-NILAI_LAB,I-NILAI_LAB,B-WAKTU_DURASI,I-WAKTU_DURASI,B-ALERGI,I-ALERGI,B-RIWAYAT_PENYAKIT,I-RIWAYAT_PENYAKIT
O,1225,3,6,0,0,0,0,0,0,4,0,3,1,0,0,6,0,108,5,1,2,0,0
B-GEJALA,91,231,5,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I-GEJALA,87,13,71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
B-OBAT,23,0,0,118,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
I-OBAT,41,1,0,8,20,2,0,1,0,10,0,1,6,0,0,0,0,0,0,0,0,0,0
B-DOSIS,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-DOSIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-DIAGNOSIS,20,1,0,0,2,0,0,53,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0
I-DIAGNOSIS,7,0,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0
B-ANATOMI,18,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0
I-ANATOMI,7,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0
B-PROSEDUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-PROSEDUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-HASIL_LAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-HASIL_LAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-NILAI_LAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-NILAI_LAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-WAKTU_DURASI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-WAKTU_DURASI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ALERGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-ALERGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-RIWAYAT_PENYAKIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-RIWAYAT_PENYAKIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
