id	focus_label	annotator_1_checked	annotator_2_checked	adjudicated	notes
C00584	RIWAYAT_PENYAKIT	no	no	no	
C00640	RIWAYAT_PENYAKIT	no	no	no	
C01280	RIWAYAT_PENYAKIT	no	no	no	
C01672	RIWAYAT_PENYAKIT	no	no	no	
C01991	RIWAYAT_PENYAKIT	no	no	no	
C03933	RIWAYAT_PENYAKIT	no	no	no	
C04575	RIWAYAT_PENYAKIT	no	no	no	
C05458	RIWAYAT_PENYAKIT	no	no	no	
C05590	RIWAYAT_PENYAKIT	no	no	no	
C05614	RIWAYAT_PENYAKIT	no	no	no	
C05742	RIWAYAT_PENYAKIT	no	no	no	
C05860	RIWAYAT_PENYAKIT	no	no	no	
C05927	RIWAYAT_PENYAKIT	no	no	no	
C06074	RIWAYAT_PENYAKIT	no	no	no	
C06260	RIWAYAT_PENYAKIT	no	no	no	
C06327	RIWAYAT_PENYAKIT	no	no	no	
C06416	RIWAYAT_PENYAKIT	no	no	no	
C06470	RIWAYAT_PENYAKIT	no	no	no	
C06639	RIWAYAT_PENYAKIT	no	no	no	
C06772	RIWAYAT_PENYAKIT	no	no	no	
C06794	RIWAYAT_PENYAKIT	no	no	no	
C06819	RIWAYAT_PENYAKIT	no	no	no	
C07293	RIWAYAT_PENYAKIT	no	no	no	
C07302	RIWAYAT_PENYAKIT	no	no	no	
C07314	RIWAYAT_PENYAKIT	no	no	no	
C07407	RIWAYAT_PENYAKIT	no	no	no	
C07419	RIWAYAT_PENYAKIT	no	no	no	
C07438	RIWAYAT_PENYAKIT	no	no	no	
C07440	RIWAYAT_PENYAKIT	no	no	no	
C07603	RIWAYAT_PENYAKIT	no	no	no	
C07617	RIWAYAT_PENYAKIT	no	no	no	
C07799	RIWAYAT_PENYAKIT	no	no	no	
C07827	RIWAYAT_PENYAKIT	no	no	no	
C07977	RIWAYAT_PENYAKIT	no	no	no	
C08152	RIWAYAT_PENYAKIT	no	no	no	
C08228	RIWAYAT_PENYAKIT	no	no	no	
C08290	RIWAYAT_PENYAKIT	no	no	no	
C08373	RIWAYAT_PENYAKIT	no	no	no	
C08457	RIWAYAT_PENYAKIT	no	no	no	
C08534	RIWAYAT_PENYAKIT	no	no	no	
C08645	RIWAYAT_PENYAKIT	no	no	no	
C08715	RIWAYAT_PENYAKIT	no	no	no	
C09530	RIWAYAT_PENYAKIT	no	no	no	
C10224	RIWAYAT_PENYAKIT	no	no	no	
C10401	RIWAYAT_PENYAKIT	no	no	no	
C10789	RIWAYAT_PENYAKIT	no	no	no	
C11450	RIWAYAT_PENYAKIT	no	no	no	
C12339	RIWAYAT_PENYAKIT	no	no	no	
C12538	RIWAYAT_PENYAKIT	no	no	no	
C12884	RIWAYAT_PENYAKIT	no	no	no	
C00416	DOSIS	no	no	no	
C01243	DOSIS	no	no	no	
C01590	DOSIS	no	no	no	
C04435	DOSIS	no	no	no	
C04441	DOSIS	no	no	no	
C04541	DOSIS	no	no	no	
C04590	DOSIS	no	no	no	
C04594	DOSIS	no	no	no	
C04633	DOSIS	no	no	no	
C04740	DOSIS	no	no	no	
C04752	DOSIS	no	no	no	
C04771	DOSIS	no	no	no	
C04787	DOSIS	no	no	no	
C05193	DOSIS	no	no	no	
C05299	DOSIS	no	no	no	
C05310	DOSIS	no	no	no	
C05333	DOSIS	no	no	no	
C05376	DOSIS	no	no	no	
C05474	DOSIS	no	no	no	
C05484	DOSIS	no	no	no	
C05797	DOSIS	no	no	no	
C05887	DOSIS	no	no	no	
C05939	DOSIS	no	no	no	
C06023	DOSIS	no	no	no	
C06120	DOSIS	no	no	no	
C06133	DOSIS	no	no	no	
C06208	DOSIS	no	no	no	
C06230	DOSIS	no	no	no	
C06311	DOSIS	no	no	no	
C06844	DOSIS	no	no	no	
C06952	DOSIS	no	no	no	
C07050	DOSIS	no	no	no	
C07170	DOSIS	no	no	no	
C07198	DOSIS	no	no	no	
C07295	DOSIS	no	no	no	
C07319	DOSIS	no	no	no	
C07654	DOSIS	no	no	no	
C07769	DOSIS	no	no	no	
C07791	DOSIS	no	no	no	
C07890	DOSIS	no	no	no	
C08098	DOSIS	no	no	no	
C08122	DOSIS	no	no	no	
C08356	DOSIS	no	no	no	
C08429	DOSIS	no	no	no	
C08444	DOSIS	no	no	no	
C08589	DOSIS	no	no	no	
C08744	DOSIS	no	no	no	
C10004	DOSIS	no	no	no	
C10624	DOSIS	no	no	no	
C11592	DOSIS	no	no	no	
C00686	PROSEDUR	no	no	no	
C00690	PROSEDUR	no	no	no	
C01076	PROSEDUR	no	no	no	
C01246	PROSEDUR	no	no	no	
C01247	PROSEDUR	no	no	no	
C01421	PROSEDUR	no	no	no	
C02254	PROSEDUR	no	no	no	
C02295	PROSEDUR	no	no	no	
C03983	PROSEDUR	no	no	no	
C05231	PROSEDUR	no	no	no	
C05615	PROSEDUR	no	no	no	
C05698	PROSEDUR	no	no	no	
C06025	PROSEDUR	no	no	no	
C06064	PROSEDUR	no	no	no	
C06602	PROSEDUR	no	no	no	
C07487	PROSEDUR	no	no	no	
C07744	PROSEDUR	no	no	no	
C08964	PROSEDUR	no	no	no	
C09375	PROSEDUR	no	no	no	
C09409	PROSEDUR	no	no	no	
C09992	PROSEDUR	no	no	no	
C10314	PROSEDUR	no	no	no	
C10342	PROSEDUR	no	no	no	
C10366	PROSEDUR	no	no	no	
C10392	PROSEDUR	no	no	no	
C10478	PROSEDUR	no	no	no	
C10487	PROSEDUR	no	no	no	
C10647	PROSEDUR	no	no	no	
