gold\predicted,O,B-GEJALA,I-GEJALA,B-OBAT,I-OBAT,B-DOSIS,I-DOSIS,B-DIAGNOSIS,I-DIAGNOSIS,B-ANATOMI,I-ANATOMI,B-PROSEDUR,I-PROSEDUR,B-HASIL_LAB,I-HASIL_LAB,B-NILAI_LAB,I-NILAI_LAB,B-WAKTU_DURASI,I-WAKTU_DURASI,B-ALERGI,I-ALERGI,B-RIWAYAT_PENYAKIT,I-RIWAYAT_PENYAKIT
O,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,0,0,0,0,0
B-GEJALA,49,87,1,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I-GEJALA,27,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-OBAT,14,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-OBAT,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-DOSIS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-DOSIS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-DIAGNOSIS,17,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I-DIAGNOSIS,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ANATOMI,9,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
I-ANATOMI,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
B-PROSEDUR,10,0,0,4,0,0,0,0,0,0,0,39,5,0,0,0,0,0,0,0,0,0,0
I-PROSEDUR,8,0,0,0,0,0,0,0,0,0,0,2,18,1,0,0,0,0,0,0,0,0,0
B-HASIL_LAB,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
I-HASIL_LAB,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
B-NILAI_LAB,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
I-NILAI_LAB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-WAKTU_DURASI,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
I-WAKTU_DURASI,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
B-ALERGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
I-ALERGI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
B-RIWAYAT_PENYAKIT,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
I-RIWAYAT_PENYAKIT,21,1,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0
