sentence_id	sentence_text	token_id	token	annotator_1	annotator_2	resolved_label	reviewer_note	suggested_label	suggestion_note
2	telat haid testpack negatif pinggang sakit keluar flek coklat dan urine berdarah	3	testpack	O	B-PROSEDUR	B-PROSEDUR		B-PROSEDUR	token kuat sebagai prosedur/pemeriksaan
2	telat haid testpack negatif pinggang sakit keluar flek coklat dan urine berdarah	4	negatif	O	B-NILAI_LAB	B-NILAI_LAB		B-NILAI_LAB	token kuat sebagai nilai hasil
11	bolehkah konsumsi obat kolesterol darah tinggi dan asam urat bersamaan dengan vitamin d	5	darah	I-HASIL_LAB	B-DIAGNOSIS	I-HASIL_LAB		I-HASIL_LAB	konflik lab; pakai saran annotator 1 sebagai awal, tetap review manual
11	bolehkah konsumsi obat kolesterol darah tinggi dan asam urat bersamaan dengan vitamin d	6	tinggi	B-NILAI_LAB	I-DIAGNOSIS	B-NILAI_LAB		B-NILAI_LAB	konflik lab; pakai saran annotator 1 sebagai awal, tetap review manual
13	apakah boleh minum obat kuat pada penderita hipertensi dan kolesterol tinggi	5	kuat	O	I-OBAT	I-OBAT		I-OBAT	satu annotator memberi entitas; perlu cek cepat
14	darah haid tidak lancar disertai pusing dan badan sakit bolehkah cek hb	3	tidak	I-GEJALA	B-GEJALA	B-GEJALA		B-GEJALA	beda B/I pada tipe sama; pilih B agar aman dari I tanpa awal span
15	apakah menstruasi mempengaruhi hasil lab prolactin	5	lab	O	B-PROSEDUR	B-PROSEDUR		B-PROSEDUR	satu annotator memberi entitas; perlu cek cepat
17	obat yang dapat mempengaruhi hasil tes agregasi trombosit	8	trombosit	I-PROSEDUR	B-HASIL_LAB	I-PROSEDUR		I-PROSEDUR	konflik lab; pakai saran annotator 1 sebagai awal, tetap review manual
19	konsumsi obat kolesterol dan asam urat setelah vaksin corona	7	setelah	O	B-WAKTU_DURASI	O		O	kata penghubung waktu; label WAKTU_DURASI hanya jika benar-benar waktu/durasi
22	kadar eritrosit dan eonosofil tanggi pada hasil pemeriksaan darah	1	kadar	O	B-HASIL_LAB	B-HASIL_LAB		B-HASIL_LAB	satu annotator memberi entitas; perlu cek cepat
22	kadar eritrosit dan eonosofil tanggi pada hasil pemeriksaan darah	2	eritrosit	B-HASIL_LAB	I-HASIL_LAB	B-HASIL_LAB		B-HASIL_LAB	beda B/I pada tipe sama; pilih B agar aman dari I tanpa awal span
23	gumpalan berwarna putih saat menstruasi dan menggunakan kb suntik bulan	8	kb	B-OBAT	B-PROSEDUR	B-PROSEDUR		B-PROSEDUR	suntik/vaksin/kb lebih cocok sebagai prosedur pada fase 9
23	gumpalan berwarna putih saat menstruasi dan menggunakan kb suntik bulan	9	suntik	B-PROSEDUR	I-PROSEDUR	B-PROSEDUR		B-PROSEDUR	beda B/I pada tipe sama; pilih B agar aman dari I tanpa awal span
24	apakah masih bisa menstruasi saat menggunakan suntik kb bulan	8	kb	B-OBAT	I-PROSEDUR	B-PROSEDUR		B-PROSEDUR	suntik/vaksin/kb lebih cocok sebagai prosedur pada fase 9
25	keluar banyak darah menstruasi setelah lepas kb suntik	5	setelah	O	B-WAKTU_DURASI	O		O	kata penghubung waktu; label WAKTU_DURASI hanya jika benar-benar waktu/durasi
