gold\predicted,O,B-GEJALA,I-GEJALA,B-OBAT,I-OBAT,B-DOSIS,I-DOSIS,B-DIAGNOSIS,I-DIAGNOSIS,B-ANATOMI,I-ANATOMI,B-ALERGI,B-HASIL_LAB,B-NILAI_LAB,B-PROSEDUR,B-RIWAYAT_PENYAKIT,B-WAKTU_DURASI,I-ALERGI,I-HASIL_LAB,I-NILAI_LAB,I-PROSEDUR,I-RIWAYAT_PENYAKIT,I-WAKTU_DURASI
O,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-GEJALA,50,87,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-GEJALA,27,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-OBAT,14,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-OBAT,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-DOSIS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-DOSIS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-DIAGNOSIS,18,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-DIAGNOSIS,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
B-ANATOMI,9,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
I-ANATOMI,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
B-ALERGI,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-HASIL_LAB,19,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-NILAI_LAB,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-PROSEDUR,41,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-RIWAYAT_PENYAKIT,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-WAKTU_DURASI,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-ALERGI,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-HASIL_LAB,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-NILAI_LAB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-PROSEDUR,26,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-RIWAYAT_PENYAKIT,22,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I-WAKTU_DURASI,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
