sentence_id	sentence_text	token_id	token	annotator_1	annotator_2	resolved_label	reviewer_note
3	cara mengatasi siku hingga telapak tangan bruntusan kecil dan terasa gatal	10	terasa	B-GEJALA	O	O	
3	cara mengatasi siku hingga telapak tangan bruntusan kecil dan terasa gatal	11	gatal	I-GEJALA	B-GEJALA	B-GEJALA	
6	mengatasi alergi air mata	3	air	B-GEJALA	O	B-ANATOMI	
6	mengatasi alergi air mata	4	mata	I-GEJALA	B-ANATOMI	I-ANATOMI	
7	kulit wajah memerah terasa kaku seperti plastik dan perih tetapi tidak gatal	4	terasa	B-GEJALA	O	O	
7	kulit wajah memerah terasa kaku seperti plastik dan perih tetapi tidak gatal	5	kaku	I-GEJALA	B-GEJALA	B-GEJALA	
10	apakah kandungan benzalkonium chloride efektif untuk hand sanitizer	2	kandungan	B-ANATOMI	O	O	
15	bagaimana cara mengatasi siklus menstruasi yang tidak teratur	7	tidak	O	B-GEJALA	B-GEJALA	
15	bagaimana cara mengatasi siklus menstruasi yang tidak teratur	8	teratur	O	I-GEJALA	I-GEJALA	
17	timbul ruam seperti biduran saat kulit bayi digaruk	1	timbul	O	B-GEJALA	O	
17	timbul ruam seperti biduran saat kulit bayi digaruk	2	ruam	B-GEJALA	I-GEJALA	B-GEJALA	
17	timbul ruam seperti biduran saat kulit bayi digaruk	4	biduran	B-GEJALA	B-DIAGNOSIS	B-DIAGNOSIS	
18	penanganan tangan bengkak berisi cairan akibat suntik kontras	4	berisi	O	I-GEJALA	I-GEJALA	
18	penanganan tangan bengkak berisi cairan akibat suntik kontras	5	cairan	B-GEJALA	I-GEJALA	I-GEJALA	
19	bagaimana caranya mengatasi sakit pada tulang pipi dan hidung tersumbat	9	hidung	B-GEJALA	B-ANATOMI	B-ANATOMI	
19	bagaimana caranya mengatasi sakit pada tulang pipi dan hidung tersumbat	10	tersumbat	I-GEJALA	B-GEJALA	B-GEJALA	
23	cara meredakan nyeri haid tidak tertahankan saat hari pertama	5	tidak	B-GEJALA	I-GEJALA	I-GEJALA	
24	gatal bentol muncul ruam kemerahan di tubuh hingga muntah dan pusing	2	bentol	B-GEJALA	I-GEJALA	B-GEJALA	
26	kepala terasa pusing mual muntah buihbusa dan sesak napas setelah makan daging sapi	4	mual	B-GEJALA	I-GEJALA	B-GEJALA	
26	kepala terasa pusing mual muntah buihbusa dan sesak napas setelah makan daging sapi	5	muntah	B-GEJALA	I-GEJALA	B-GEJALA	
29	tidak merasakan tandatanda menjelang haid apakah normal	3	tandatanda	B-GEJALA	O	O	
29	tidak merasakan tandatanda menjelang haid apakah normal	4	menjelang	I-GEJALA	O	O	
29	tidak merasakan tandatanda menjelang haid apakah normal	5	haid	I-GEJALA	O	O	
30	telat haid disebabkan karena faktor stress	6	stress	B-GEJALA	B-DIAGNOSIS	B-DIAGNOSIS	
32	kulit wajah mengelupas dan terasa tidak nyaman setelah menggunakan sabun wajah	5	terasa	B-GEJALA	O	O	
32	kulit wajah mengelupas dan terasa tidak nyaman setelah menggunakan sabun wajah	10	sabun	B-OBAT	O	B-OBAT	
32	kulit wajah mengelupas dan terasa tidak nyaman setelah menggunakan sabun wajah	11	wajah	I-OBAT	B-ANATOMI	I-OBAT	
34	haid kali dalam sebulan apakah pertanda subur	1	haid	B-GEJALA	O	O	
34	haid kali dalam sebulan apakah pertanda subur	2	kali	I-GEJALA	O	O	
34	haid kali dalam sebulan apakah pertanda subur	4	sebulan	B-GEJALA	O	O	
35	obat kutu rambut di apotek yang paling ampuh	2	kutu	O	I-OBAT	I-OBAT	
36	kenapa habis cukur bulu kaki jadi merah dan gatal	4	bulu	O	B-ANATOMI	B-ANATOMI	
36	kenapa habis cukur bulu kaki jadi merah dan gatal	5	kaki	B-ANATOMI	I-ANATOMI	I-ANATOMI	
37	muntah setelah minum obat asam mefenamat untuk mengatasi nyeri haid apakah perlu minum lagi	5	asam	B-OBAT	I-OBAT	I-OBAT	
42	rekomendasi obat asma yang ampuh supaya tidak sering kambuh	7	tidak	B-GEJALA	O	O	
42	rekomendasi obat asma yang ampuh supaya tidak sering kambuh	8	sering	I-GEJALA	O	O	
44	muncul benjolan gatal berair setelah digit nyamuk	1	muncul	B-GEJALA	O	O	
44	muncul benjolan gatal berair setelah digit nyamuk	2	benjolan	I-GEJALA	B-GEJALA	B-GEJALA	
44	muncul benjolan gatal berair setelah digit nyamuk	3	gatal	B-GEJALA	I-GEJALA	B-GEJALA	
44	muncul benjolan gatal berair setelah digit nyamuk	4	berair	B-GEJALA	I-GEJALA	B-GEJALA	
48	bekas operasi caesar terasa perih dan gatal	4	terasa	B-GEJALA	O	O	
48	bekas operasi caesar terasa perih dan gatal	5	perih	I-GEJALA	B-GEJALA	B-GEJALA	
51	bagaimana solusi jika susah menelan obat pada ibu hamil	4	susah	B-GEJALA	O	B-GEJALA	
51	bagaimana solusi jika susah menelan obat pada ibu hamil	5	menelan	I-GEJALA	O	I-GEJALA	
51	bagaimana solusi jika susah menelan obat pada ibu hamil	9	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
52	keamanan obat asma untuk ibu hamil	6	hamil	B-DIAGNOSIS	O	B-DIAGNOSIS	
55	bolehkah melakukan vaksin covid saat sering pilek dan bersin di pagi hari	6	sering	B-GEJALA	O	O	
57	bolehkah konsumsi obat untuk mengatasi sakit gigi sebelum ke dokter gigi	7	gigi	I-GEJALA	B-ANATOMI	B-ANATOMI	
57	bolehkah konsumsi obat untuk mengatasi sakit gigi sebelum ke dokter gigi	11	gigi	B-ANATOMI	O	O	
59	cara membedakan purging atau breakout saat menggunakan produk perawatan kulit	3	purging	B-GEJALA	B-DIAGNOSIS	B-DIAGNOSIS	
59	cara membedakan purging atau breakout saat menggunakan produk perawatan kulit	5	breakout	B-GEJALA	B-DIAGNOSIS	B-DIAGNOSIS	
59	cara membedakan purging atau breakout saat menggunakan produk perawatan kulit	10	kulit	I-OBAT	B-ANATOMI	I-OBAT	
65	kapan waktu yang tepat untuk periksa kandungan saat telat haid	7	kandungan	B-ANATOMI	O	B-ANATOMI	
67	bisakah langsung terjadi kehamilan setelah haid baru selesai	4	kehamilan	B-DIAGNOSIS	O	B-DIAGNOSIS	
68	sakit mata akibat kelilipan serangga	2	mata	I-GEJALA	B-ANATOMI	B-ANATOMI	
68	sakit mata akibat kelilipan serangga	4	kelilipan	O	B-GEJALA	B-GEJALA	
71	penyebab rasa gatal dan perih di ketiak setelah menggunakan krim perontok bulu	12	bulu	O	I-OBAT	I-OBAT	
