id	focus_tags	text
C04863	HASIL_LAB,OBAT_DOSIS	obat yang bagus untuk mengatasi gula darah tinggi
C12034	HASIL_LAB	telat haid testpack negatif pinggang sakit keluar flek coklat dan urine berdarah
C04916	HASIL_LAB,OBAT_DOSIS	rekomendasi obat untuk mengatasi leher tegang karena kolesterol
C04979	HASIL_LAB,OBAT_DOSIS	obat untuk menurunkan kadar gula darah tinggi sampai
C07275	PROSEDUR,HASIL_LAB,OBAT_DOSIS	bolehkan konsumsi obat kolesterol tanpa cek darah
C04667	HASIL_LAB,OBAT_DOSIS,GEJALA_SULIT	obat untuk mengatasi mata kaki bengkak karena asam urat
C07640	HASIL_LAB,OBAT_DOSIS	obat untuk mengatasi kolesterol
C07695	HASIL_LAB	pengobatan yang tepat untuk mengatasi kolesterol tinggi
C12293	HASIL_LAB	apakah menstruasi bisa menaikkan gula darah secara drastis
C05815	HASIL_LAB,OBAT_DOSIS	obat untuk mengatasi peningkatan sgpt dan asam urat
C05991	HASIL_LAB,OBAT_DOSIS	bolehkah konsumsi obat kolesterol darah tinggi dan asam urat bersamaan dengan vitamin d
C10054	HASIL_LAB	hubungan trombosit rendah dengan siklus menstruasi
C08465	HASIL_LAB,OBAT_DOSIS	apakah boleh minum obat kuat pada penderita hipertensi dan kolesterol tinggi
C12213	HASIL_LAB,GEJALA_SULIT	darah haid tidak lancar disertai pusing dan badan sakit bolehkah cek hb
C11860	HASIL_LAB	apakah menstruasi mempengaruhi hasil lab prolactin
C06886	HASIL_LAB,OBAT_DOSIS	waktu untuk konsumsi obat sebelum cek gula darah
C06085	HASIL_LAB,OBAT_DOSIS	obat yang dapat mempengaruhi hasil tes agregasi trombosit
C11797	PROSEDUR,HASIL_LAB	penjelasan hasil pemeriksaan lab leukosit
C06585	PROSEDUR,HASIL_LAB,WAKTU_DURASI,OBAT_DOSIS	konsumsi obat kolesterol dan asam urat setelah vaksin corona
C05510	HASIL_LAB,OBAT_DOSIS	obat untuk mengatasi hipertensi kolesterol tinggi dan asam lambung
C02431	HASIL_LAB	bagaimana cara agar leukosit tidak tinggi
C01089	PROSEDUR,HASIL_LAB	kadar eritrosit dan eonosofil tanggi pada hasil pemeriksaan darah
C12989	PROSEDUR,WAKTU_DURASI	gumpalan berwarna putih saat menstruasi dan menggunakan kb suntik bulan
C09710	PROSEDUR,WAKTU_DURASI	apakah masih bisa menstruasi saat menggunakan suntik kb bulan
C10631	PROSEDUR,WAKTU_DURASI	keluar banyak darah menstruasi setelah lepas kb suntik
C11058	PROSEDUR	kemungkinan hamil saat hasil testpack dan usg berbeda
C02306	PROSEDUR,GEJALA_SULIT	cara mengatasi gatal di area bekas operasi caesar
C06881	PROSEDUR,WAKTU_DURASI,OBAT_DOSIS	resep obat yang digunakan pasca operasi wasir
C12008	PROSEDUR,WAKTU_DURASI	mengatasi haid tidak teratur pasca operasi pengangkatan kista ovarium
C00829	PROSEDUR,WAKTU_DURASI,GEJALA_SULIT	paha terasa gatal setelah operasi cangkoj tulang betis
C08378	PROSEDUR,WAKTU_DURASI,OBAT_DOSIS,GEJALA_SULIT	pusing setelah minum obat pasca operasi selulitis
C10634	PROSEDUR,WAKTU_DURASI	menstruasi setelah hasil test pack samar dan hasil usg belum terlihat
C11108	PROSEDUR,WAKTU_DURASI	bagaimana normalnya siklus haid pasca operasi usus buntu
C10149	PROSEDUR,RIWAYAT_PENYAKIT	haid yang tidak teratur dengan riwayat pemeriksaan usg yang normal
C10161	PROSEDUR,WAKTU_DURASI	langsung menstruasi setelah suntik kb bulan
C12937	PROSEDUR,WAKTU_DURASI	haid berkepanjangan setelah ganti suntik kb ke pil kb
C12708	PROSEDUR,WAKTU_DURASI	penyebab siklus haid yang berubah pasca suntik kb bulan
C12083	PROSEDUR,WAKTU_DURASI	kapan bisa pindah dari kb suntik bulan ke pil kb
C12784	PROSEDUR	kaitan haid dengan gagalnya medical check up
C10428	PROSEDUR	kaitan vaksin covid terhadap haid yang telat dan badan lemas
C00791	ALERGI,PROSEDUR	keamanan melakukan suntik vaksinasi covid saat sedang mengalami alergi
